module,class_name,operation_name,operation_value,base_kind,input_count,output_count,input_data_types,output_data_types,signature_inputs,signature_outputs
Comparisons,InRangeExclusiveNodeViewModel,InRangeExclusive,2823,OneOutputNodeViewModel,3,1,Number|Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Comparisons,InRangeInclusiveNodeViewModel,InRangeInclusive,2822,OneOutputNodeViewModel,3,1,Number|Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,InverseNodeViewModel,Inverse,2320,OneOutputNodeViewModel,1,1,Dynamic,Dynamic,"[{""name"": ""input"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Trigonometry,LengthStringNodeViewModel,StringLength,3587,OneOutputNodeViewModel,1,1,String,Number,"[{""name"": ""input"", ""gate_class"": ""GateStringData"", ""data_type"": ""String""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,LerpNodeViewModel,Lerp,2328,OneOutputNodeViewModel,3,1,Dynamic|Dynamic|Number,Dynamic,"[{""name"": ""input1"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input2"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}, {""name"": ""input3"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateDynamicTypeData"", ""data_type"": ""Dynamic""}]"
Comparisons,LessNodeViewModel,Less,2821,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Comparisons,LessOrEqualNodeViewModel,LessOrEqual,2819,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
WorldSession,LoadLastSaveSessionStateNodeViewModel,LoadWorldSessionState,5002,NoOutputsNodeViewModel,1,0,Number,,"[{""name"": ""input"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]",[]
Base,LocalAngleToWorldEntityNodeViewModel,LocalAngleToWorld,1556,OneOutputNodeViewModel,2,1,Entity|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
Base,LocalPositionToWorldEntityNodeViewModel,LocalPositionToWorld,1555,OneOutputNodeViewModel,2,1,Entity|Vector,Vector,"[{""name"": ""input1"", ""gate_class"": ""GateEntityData"", ""data_type"": ""Entity""}, {""name"": ""input2"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]","[{""name"": ""output"", ""gate_class"": ""GateVectorData"", ""data_type"": ""Vector""}]"
Base,LogNumberNodeViewModel,,,OneOutputNodeViewModel,2,1,Number|Number,Number,"[{""name"": ""input1"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}, {""name"": ""input2"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]","[{""name"": ""output"", ""gate_class"": ""GateNumberData"", ""data_type"": ""Number""}]"
